JOB_NUMBER,JOB_TYPE,C_O_ISSUE_DATE,BIN_NUMBER,BOROUGH,NUMBER,STREET,POSTCODE,PR_DWELLING_UNIT,EX_DWELLING_UNIT,APPLICATION_STATUS_RAW,FILING_STATUS_RAW,ITEM_NUMBER,ISSUE_TYPE,LATITUDE,LONGITUDE,CENSUS_TRACT,NTA,LOCATION
121328116,NB,12/15/16,1089722,Manhattan,551,TENTH AVENUE,10018,600,,Issued,New,2,Temporary,40.758797,-73.996087,117,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.758797, -73.996087)"
102658786,A1,6/28/16,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,30,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
120548498,A1,6/13/16,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,13,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
120597862,NB,12/15/16,1024805,Manhattan,218,WEST 50TH STREET,10019,230,,Issued,New,13,Temporary,40.761613,-73.984521,125,Midtown-Midtown South,"(40.761613, -73.984521)"
121011403,A1,12/15/16,1041649,Manhattan,31,EAST 74 STREET,10021,10,1,Issued,New,6,Temporary,40.773013,-73.964243,130,Upper East Side-Carnegie Hill,"(40.773013, -73.964243)"
103744904,A1,12/15/16,1025211,Manhattan,851,8 AVENUE,10019,300,300,Issued,New,35,Temporary,40.763059,-73.985557,133,Clinton,"(40.763059, -73.985557)"
122063453,A1,5/16/16,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,1,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
102658786,A1,4/4/16,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,29,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
121813234,NB,12/15/16,1026799,Manhattan,424,WEST 55TH STREET,10019,17,,Issued,New,2,Temporary,40.766998,-73.987592,139,Clinton,"(40.766998, -73.987592)"
104791619,A1,12/15/16,1027465,Manhattan,1889,BROADWAY,10023,548,,Issued,New,12,Temporary,40.77095,-73.982158,149,Lincoln Square,"(40.77095, -73.982158)"
104177203,A1,12/15/16,1032491,Manhattan,657,AMSTERDAM AVENUE,10025,115,,Issued,New,38,Temporary,40.791399,-73.97229,177,Upper West Side,"(40.791399, -73.97229)"
104559112,A1,12/15/16,1084572,Manhattan,680,COLUMBUS AVENUE,10025,163,163,Issued,New,17,Temporary,40.791077,-73.968834,177,Upper West Side,"(40.791077, -73.968834)"
122228295,A1,12/15/16,1053449,Manhattan,18,WEST 123 STREET,10027,3,11,Issued,New,1,Temporary,40.805934,-73.945207,200,Central Harlem South,"(40.805934, -73.945207)"
121989170,A1,12/15/16,1062858,Manhattan,554,WEST 162 STREET,10032,1,11,Issued,New,1,Final,40.83664,-73.941322,245,Washington Heights South,"(40.83664, -73.941322)"
102658786,A1,1/11/16,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,28,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
104467426,A1,12/15/16,1001266,Manhattan,127,FULTON STREET,10038,7,1,Issued,New,25,Temporary,40.71007,-74.007427,1501,Battery Park City-Lower Manhattan,"(40.71007, -74.007427)"
103673543,A1,12/15/16,1001086,Manhattan,67,LIBERTY STREET,10005,14,,Issued,New,12,Temporary,40.708963,-74.010096,1502,Battery Park City-Lower Manhattan,"(40.708963, -74.010096)"
110103940,NB,12/15/16,1089746,Manhattan,161,FRONT STREET,10038,177,,Issued,New,9,Temporary,40.706051,-74.0051,1502,Battery Park City-Lower Manhattan,"(40.706051, -74.0051)"
103846947,NB,12/15/16,1087353,Manhattan,242,EAST    2 STREET,10009,22,,Issued,New,12,Temporary,40.721404,-73.981962,2202,Lower East Side,"(40.721404, -73.981962)"
122611735,A1,4/16/18,1015204,Manhattan,128,WEST 34TH STREET,10001,0,4,Issued,New,5,Final,40.75039,-73.989223,101,Midtown-Midtown South,"(40.75039, -73.989223)"
