GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2010 or later,Margin of Error; Total: - Built 2010 or later,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1400000US36061023700,36061023700,"Census Tract 237, New York County, New York",2754,83,0,16,18,28,49,51,54,52,16,25,25,34,99,58,166,121,2327,167
1400000US36061023801,36061023801,"Census Tract 238.01, New York County, New York",4464,192,0,16,1171,227,160,109,747,238,2002,320,140,118,64,58,13,22,167,148
1400000US36061023802,36061023802,"Census Tract 238.02, New York County, New York",739,55,14,18,542,75,26,32,21,18,22,28,20,21,19,30,0,11,75,44
1400000US36061023900,36061023900,"Census Tract 239, New York County, New York",1043,49,0,11,0,11,8,11,38,31,36,26,82,46,84,54,116,63,679,88
1400000US36061024000,36061024000,"Census Tract 240, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061024100,36061024100,"Census Tract 241, New York County, New York",3490,72,0,16,54,55,29,33,147,90,328,158,438,124,225,125,244,136,2025,271
1400000US36061024200,36061024200,"Census Tract 242, New York County, New York",1438,42,104,58,160,61,131,81,222,94,302,119,196,81,62,45,44,44,217,76
1400000US36061024301,36061024301,"Census Tract 243.01, New York County, New York",1491,64,8,15,73,53,33,32,99,78,22,26,106,74,43,36,339,142,768,131
1400000US36061024302,36061024302,"Census Tract 243.02, New York County, New York",2510,67,0,16,12,21,0,16,15,24,87,82,1421,162,764,163,185,94,26,39
1400000US36061024500,36061024500,"Census Tract 245, New York County, New York",4952,117,0,18,0,18,56,63,96,71,145,119,207,115,346,164,510,178,3592,303
1400000US36061024700,36061024700,"Census Tract 247, New York County, New York",2657,52,0,16,22,19,0,16,31,37,0,16,111,81,42,48,470,153,1981,201
