6737,TREVOR,Golden Retriever,Manhattan,7,2/21/15,2/21/16
7052,SPUNKY,Shih Tzu,Manhattan,7,2/24/15,2/24/16
7467,POPCORN,French Bulldog,Manhattan,7,2/28/15,2/28/16
8854,ROSIE,Australian Kelpie,Manhattan,7,3/12/15,3/12/16
9060,MICKEY,Cocker Spaniel,Manhattan,7,3/14/15,3/8/16
9184,KHALEESI ,German Shepherd Crossbreed,Manhattan,7,3/16/15,3/16/20
9710,ECHO ,Yorkshire Terrier,Manhattan,7,3/21/15,3/30/16
9734,JINPA ,Tibetan Terrier,Manhattan,7,3/22/15,3/22/16
10041,LUCA,Yorkshire Terrier,Manhattan,7,3/25/15,5/4/16
10062,CASTRO,Havanese,Manhattan,7,3/25/15,4/17/16
10176,EINSTEIN,Australian Shepherd,Manhattan,7,3/25/15,4/1/17
11051,RUBY,French Bulldog,Manhattan,7,3/31/15,3/31/16
11181,DEVYN,"Coonhound, Black and Tan",Manhattan,7,4/1/15,4/1/16
12616,SHOTTY,Greyhound,Manhattan,7,4/13/15,4/13/16
12622,SASHA,Shiba Inu,Manhattan,7,4/13/15,4/13/16
12703,ABE,Labrador Retriever,Manhattan,7,4/13/15,5/20/16
12787,WINNIE,Cocker Spaniel,Manhattan,7,4/14/15,5/7/16
12802,MAX,Unknown,Manhattan,7,4/14/15,5/31/20
12972,WALLY,Beagle,Manhattan,7,4/15/15,4/15/16
13276,MAX,Cavalier King Charles Spaniel,Manhattan,7,4/17/15,5/12/16
13280,CHARLIE,Cavalier King Charles Spaniel,Manhattan,7,4/17/15,5/12/16
13316,NAME NOT PROVIDED,Shiba Inu,Manhattan,7,4/17/15,4/17/16
13395,OLIVER,French Bulldog,Manhattan,7,4/18/15,4/18/16
13701,TIGGER,Boston Terrier,Manhattan,7,4/20/15,4/20/17
13968,GASTON,French Bulldog,Manhattan,7,4/22/15,4/22/16
15049,HANK,Labrador Retriever,Manhattan,7,4/28/15,4/28/16
15243,SOPHIE,Shih Tzu,Manhattan,7,4/29/15,4/29/20
15400,ISABELLA,"Bull Dog, English",Manhattan,7,4/30/15,5/11/16
16223,OSCAR,Dachshund Smooth Coat Miniature,Manhattan,7,5/6/15,2/16/16
16226,ONYX,Weimaraner,Manhattan,7,5/6/15,5/14/16
16302,JPMORGAN,Cocker Spaniel,Manhattan,7,5/6/15,2/26/16
16339,HARRY,Bichon Frise,Manhattan,7,5/6/15,2/16/16
17136,LUKAS ,Cavalier King Charles Spaniel,Manhattan,7,5/13/15,5/13/16
17216,DAPHNE ,"Poodle, Miniature",Manhattan,7,5/13/15,5/13/16
18554,MIA,Cavalier King Charles Spaniel,Manhattan,7,5/25/15,5/25/16
18761,CHUCKY,"Poodle, Miniature",Manhattan,7,5/27/15,5/27/16
18834,GAIA,Norwegian Elkhound,Manhattan,7,5/28/15,5/28/20
19381,KUZU,"Bull Dog, French",Manhattan,7,6/1/15,3/21/16
19603,CASEY,Beagle,Manhattan,7,6/2/15,6/16/16
19901,ANDRE,"Poodle, Toy",Manhattan,7,6/4/15,6/3/16
19993,MILES,Terrier mix,Manhattan,7,6/5/15,6/5/17
20162,BUZZ,American Staffordshire Terrier ,Manhattan,7,6/7/15,6/7/16
