GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - 1, detached","Margin of Error; Total: - 1, detached","Estimate; Total: - 1, attached","Margin of Error; Total: - 1, attached",Estimate; Total: - 2,Margin of Error; Total: - 2,Estimate; Total: - 3 or 4,Margin of Error; Total: - 3 or 4,Estimate; Total: - 5 to 9,Margin of Error; Total: - 5 to 9,Estimate; Total: - 10 to 19,Margin of Error; Total: - 10 to 19,Estimate; Total: - 20 to 49,Margin of Error; Total: - 20 to 49,Estimate; Total: - 50 or more,Margin of Error; Total: - 50 or more,Estimate; Total: - Mobile home,Margin of Error; Total: - Mobile home,"Estimate; Total: - Boat, RV, van, etc.","Margin of Error; Total: - Boat, RV, van, etc."
1500000US360610078001,360610078001,"Block Group 1, Census Tract 78, New York County, New York",921,243,0,11,0,11,0,11,0,11,0,11,0,11,0,11,921,243,0,11,0,11
1500000US360610078002,360610078002,"Block Group 2, Census Tract 78, New York County, New York",800,227,0,11,0,11,0,11,0,11,0,11,0,11,233,164,567,211,0,11,0,11
1500000US360610078003,360610078003,"Block Group 3, Census Tract 78, New York County, New York",752,212,0,11,0,11,0,11,0,11,0,11,193,168,225,190,334,181,0,11,0,11
1500000US360610078004,360610078004,"Block Group 4, Census Tract 78, New York County, New York",1001,248,0,11,0,11,0,11,76,81,21,35,0,11,97,77,807,224,0,11,0,11
1500000US360610078005,360610078005,"Block Group 5, Census Tract 78, New York County, New York",383,189,0,11,0,11,0,11,0,11,0,11,0,11,67,62,316,191,0,11,0,11
1500000US360610078006,360610078006,"Block Group 6, Census Tract 78, New York County, New York",886,205,0,11,84,97,0,11,0,11,0,11,31,49,75,122,696,216,0,11,0,11
1500000US360610078007,360610078007,"Block Group 7, Census Tract 78, New York County, New York",927,236,0,11,0,11,0,11,0,11,71,96,20,31,0,11,836,232,0,11,0,11
1500000US360610079000,360610079000,"Block Group 0, Census Tract 79, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610079001,360610079001,"Block Group 1, Census Tract 79, New York County, New York",366,118,0,11,0,11,0,11,0,11,0,11,0,11,11,17,355,118,0,11,0,11
1500000US360610079002,360610079002,"Block Group 2, Census Tract 79, New York County, New York",916,183,18,27,23,38,0,11,0,11,0,11,46,72,38,36,791,195,0,11,0,11
1500000US360610079003,360610079003,"Block Group 3, Census Tract 79, New York County, New York",932,163,56,93,104,67,34,39,40,47,57,53,191,111,314,120,136,100,0,11,0,11
1500000US360610079004,360610079004,"Block Group 4, Census Tract 79, New York County, New York",638,159,91,93,67,56,19,30,58,87,4,11,75,60,21,26,303,106,0,11,0,11
1500000US360610080001,360610080001,"Block Group 1, Census Tract 80, New York County, New York",611,126,0,11,0,11,0,11,0,11,40,40,27,33,119,72,425,123,0,11,0,11
1500000US360610080002,360610080002,"Block Group 2, Census Tract 80, New York County, New York",893,153,0,11,0,11,0,11,26,31,91,57,11,17,191,103,574,133,0,11,0,11
1500000US360610080003,360610080003,"Block Group 3, Census Tract 80, New York County, New York",424,147,12,20,0,11,0,11,0,11,0,11,0,11,216,123,196,98,0,11,0,11
1500000US360610080004,360610080004,"Block Group 4, Census Tract 80, New York County, New York",906,126,13,22,13,21,0,11,0,11,111,61,29,34,89,56,651,125,0,11,0,11
1500000US360610080005,360610080005,"Block Group 5, Census Tract 80, New York County, New York",927,188,14,22,12,21,0,11,0,11,44,38,27,22,91,53,739,188,0,11,0,11
1500000US360610081001,360610081001,"Block Group 1, Census Tract 81, New York County, New York",1172,245,0,11,0,11,0,11,0,11,23,38,186,98,591,228,306,147,0,11,66,69
1500000US360610081002,360610081002,"Block Group 2, Census Tract 81, New York County, New York",876,167,0,11,0,11,0,11,0,11,129,110,185,114,212,91,350,136,0,11,0,11
1500000US360610081003,360610081003,"Block Group 3, Census Tract 81, New York County, New York",606,194,0,11,0,11,0,11,28,45,48,40,26,43,317,132,187,164,0,11,0,11
1500000US360610081004,360610081004,"Block Group 4, Census Tract 81, New York County, New York",1117,190,26,42,0,11,0,11,30,51,26,44,90,109,353,184,592,182,0,11,0,11
1500000US360610081005,360610081005,"Block Group 5, Census Tract 81, New York County, New York",1054,213,0,11,21,35,0,11,0,11,100,112,362,147,361,135,210,134,0,11,0,11
1500000US360610081006,360610081006,"Block Group 6, Census Tract 81, New York County, New York",571,158,25,40,0,11,25,39,95,120,47,52,66,83,156,128,157,86,0,11,0,11
1500000US360610082001,360610082001,"Block Group 1, Census Tract 82, New York County, New York",1034,175,0,11,0,11,0,11,0,11,166,119,64,78,35,39,769,159,0,11,0,11
1500000US360610082002,360610082002,"Block Group 2, Census Tract 82, New York County, New York",872,170,0,11,18,34,0,11,0,11,26,38,0,11,33,40,795,175,0,11,0,11
1500000US360610082003,360610082003,"Block Group 3, Census Tract 82, New York County, New York",605,145,0,11,0,11,0,11,0,11,44,65,0,11,57,40,504,151,0,11,0,11
1500000US360610083001,360610083001,"Block Group 1, Census Tract 83, New York County, New York",673,140,18,28,0,11,0,11,69,83,85,90,310,145,159,75,32,37,0,11,0,11
1500000US360610083002,360610083002,"Block Group 2, Census Tract 83, New York County, New York",614,130,0,11,0,11,0,11,49,46,33,37,45,42,315,135,172,83,0,11,0,11
