GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Science and Engineering,Margin of Error; Total: - Science and Engineering,Estimate; Total: - Science and Engineering Related Fields,Margin of Error; Total: - Science and Engineering Related Fields,Estimate; Total: - Business,Margin of Error; Total: - Business,Estimate; Total: - Education,Margin of Error; Total: - Education,"Estimate; Total: - Arts, Humanities and Other","Margin of Error; Total: - Arts, Humanities and Other"
1500000US360610199004,360610199004,"Block Group 4, Census Tract 199, New York County, New York",566,171,246,102,9,17,38,35,70,56,203,103
1500000US360610199005,360610199005,"Block Group 5, Census Tract 199, New York County, New York",1411,486,626,327,31,38,199,121,127,69,428,271
1500000US360610199006,360610199006,"Block Group 6, Census Tract 199, New York County, New York",731,209,372,178,24,38,31,37,22,34,282,134
1500000US360610200001,360610200001,"Block Group 1, Census Tract 200, New York County, New York",624,172,216,80,59,52,68,63,28,44,253,120
1500000US360610200002,360610200002,"Block Group 2, Census Tract 200, New York County, New York",753,286,200,93,67,59,77,55,34,37,375,211
1500000US360610201011,360610201011,"Block Group 1, Census Tract 201.01, New York County, New York",418,64,183,51,3,5,44,27,11,11,177,41
1500000US360610201021,360610201021,"Block Group 1, Census Tract 201.02, New York County, New York",417,122,206,77,0,11,46,36,9,14,156,97
1500000US360610201022,360610201022,"Block Group 2, Census Tract 201.02, New York County, New York",689,205,202,75,40,45,115,90,0,11,332,169
1500000US360610201023,360610201023,"Block Group 3, Census Tract 201.02, New York County, New York",298,108,58,53,0,11,35,34,0,11,205,106
1500000US360610201024,360610201024,"Block Group 4, Census Tract 201.02, New York County, New York",433,132,207,103,17,26,45,45,41,50,123,77
1500000US360610203001,360610203001,"Block Group 1, Census Tract 203, New York County, New York",706,180,405,114,94,92,13,16,74,81,120,35
1500000US360610203002,360610203002,"Block Group 2, Census Tract 203, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610205000,360610205000,"Block Group 0, Census Tract 205, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610205001,360610205001,"Block Group 1, Census Tract 205, New York County, New York",864,168,413,113,6,13,45,29,30,27,370,107
1500000US360610205002,360610205002,"Block Group 2, Census Tract 205, New York County, New York",309,93,134,75,36,50,11,15,33,24,95,37
1500000US360610205003,360610205003,"Block Group 3, Census Tract 205, New York County, New York",532,112,231,76,24,22,22,24,24,23,231,67
1500000US360610206001,360610206001,"Block Group 1, Census Tract 206, New York County, New York",372,135,131,80,36,29,68,52,30,27,107,71
