License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1305416,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,CCL STAR INC,PEARLS,794 AMSTERDAM AVE,AKA 200 W 99TH ST STORE 1,NEW YORK,NY,10025,824401,6/6/18,6/6/18,5/31/20,40.79594,-73.96922,"(40.79594, -73.96922)"
1306103,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,SHINSHI JAPANESE GROUP LLC,SHINSHI RAMEN,235 E 53RD ST,CELLAR,NEW YORK,NY,10022,824405,6/8/18,6/8/18,5/31/20,40.75721,-73.96799,"(40.75721, -73.96799)"
1309107,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,FISCARDO INC,ORION DINER & GRILL,248 E 23RD ST,,NEW YORK,NY,10010,824406,6/11/18,6/11/18,5/31/20,40.73788,-73.98127,"(40.73788, -73.98127)"
1305061,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,BL 55 GREENWICH NY LLC,BLUESTONE LANE,55 GREENWICH AVE,,NEW YORK,NY,10014,824409,6/13/18,6/13/18,5/31/20,40.73581,-74.00082,"(40.73581, -74.00082)"
1289714,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,KDD RESTAURANT GROUP LLC,MAKANA,161 W 106TH ST,STORE 2,NEW YORK,NY,10025,835404,6/15/16,6/14/18,5/31/20,40.80044,-73.96531,"(40.80044, -73.96531)"
1305262,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,CHAMO'S AREPAS BAR INC,BAREPAS,1792 AMSTERDAM AVE,,NEW YORK,NY,10031,824410,6/14/18,6/14/18,5/31/20,40.82767,-73.94605,"(40.82767, -73.94605)"
1303639,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,STEM 330 LLC,,455 HUDSON ST,,NEW YORK,NY,10014,824411,6/14/18,6/14/18,5/31/20,40.73139,-74.00685,"(40.73139, -74.00685)"
1309671,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,STONE BRIDGE FARM PIZZA AND SALAD LLC,STONE BRIDGE PIZZA AND SALAD,16 E 41ST ST,,NEW YORK,NY,10017,824412,6/15/18,6/15/18,5/31/20,40.75234,-73.98054,"(40.75234, -73.98054)"
1307583,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,95 FUSION TEAROOM & KITCHEN BAR INC,,95 CHRYSTIE ST,,NEW YORK,NY,10002,824414,6/18/18,6/18/18,5/31/20,40.71776,-73.99422,"(40.71776, -73.99422)"
1309882,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,AB HOSPITALITY INC,LA PARISIENNE,9 11 MAIDEN LN STORE 3,,NEW YORK,NY,10038,824421,6/21/18,6/21/18,5/31/20,0,0,"(0.0, 0.0)"
1309929,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,ILILI BOX CANAL STREET LLC,ILILI BOX,261 267 CANAL ST,,NEW YORK,NY,10013,824418,6/21/18,6/21/18,5/31/20,0,0,"(0.0, 0.0)"
1310425,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,CP FRESH 62 LLC,FRESH & CO,PIER 62 W 23RD ST,,NEW YORK,NY,10011,824420,6/21/18,6/21/18,5/31/20,0,0,"(0.0, 0.0)"
1310130,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,BB ORCHARD LLC,BAREBURGER,173 ORCHARD ST,,NEW YORK,NY,10002,824422,6/22/18,6/22/18,5/31/20,40.72159,-73.98857,"(40.72159, -73.98857)"
