GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Imputed,Estimate; Total: - Not Imputed
1500000US360610030014,360610030014,"Block Group 4, Census Tract 30.01, New York County, New York",630,41,589
1500000US360610030021,360610030021,"Block Group 1, Census Tract 30.02, New York County, New York",1311,151,1160
1500000US360610030022,360610030022,"Block Group 2, Census Tract 30.02, New York County, New York",601,15,586
1500000US360610031001,360610031001,"Block Group 1, Census Tract 31, New York County, New York",1343,350,993
1500000US360610032001,360610032001,"Block Group 1, Census Tract 32, New York County, New York",914,16,898
1500000US360610032002,360610032002,"Block Group 2, Census Tract 32, New York County, New York",466,13,453
1500000US360610032003,360610032003,"Block Group 3, Census Tract 32, New York County, New York",731,0,731
1500000US360610032004,360610032004,"Block Group 4, Census Tract 32, New York County, New York",394,10,384
1500000US360610032005,360610032005,"Block Group 5, Census Tract 32, New York County, New York",328,17,311
1500000US360610032006,360610032006,"Block Group 6, Census Tract 32, New York County, New York",1299,102,1197
1500000US360610032007,360610032007,"Block Group 7, Census Tract 32, New York County, New York",730,68,662
1500000US360610033001,360610033001,"Block Group 1, Census Tract 33, New York County, New York",2051,60,1991
1500000US360610033002,360610033002,"Block Group 2, Census Tract 33, New York County, New York",450,37,413
1500000US360610033003,360610033003,"Block Group 3, Census Tract 33, New York County, New York",1001,0,1001
1500000US360610034001,360610034001,"Block Group 1, Census Tract 34, New York County, New York",1219,42,1177
1500000US360610034002,360610034002,"Block Group 2, Census Tract 34, New York County, New York",817,63,754
1500000US360610034003,360610034003,"Block Group 3, Census Tract 34, New York County, New York",1083,99,984
1500000US360610034004,360610034004,"Block Group 4, Census Tract 34, New York County, New York",1442,123,1319
1500000US360610036011,360610036011,"Block Group 1, Census Tract 36.01, New York County, New York",167,20,147
1500000US360610036012,360610036012,"Block Group 2, Census Tract 36.01, New York County, New York",484,26,458
1500000US360610036013,360610036013,"Block Group 3, Census Tract 36.01, New York County, New York",758,93,665
1500000US360610036021,360610036021,"Block Group 1, Census Tract 36.02, New York County, New York",880,93,787
1500000US360610036022,360610036022,"Block Group 2, Census Tract 36.02, New York County, New York",717,72,645
1500000US360610037000,360610037000,"Block Group 0, Census Tract 37, New York County, New York",0,0,0
1500000US360610037001,360610037001,"Block Group 1, Census Tract 37, New York County, New York",511,63,448
1500000US360610037002,360610037002,"Block Group 2, Census Tract 37, New York County, New York",635,41,594
1500000US360610037003,360610037003,"Block Group 3, Census Tract 37, New York County, New York",479,12,467
1500000US360610038001,360610038001,"Block Group 1, Census Tract 38, New York County, New York",892,93,799
1500000US360610038002,360610038002,"Block Group 2, Census Tract 38, New York County, New York",455,114,341
1500000US360610038003,360610038003,"Block Group 3, Census Tract 38, New York County, New York",852,139,713
1500000US360610038004,360610038004,"Block Group 4, Census Tract 38, New York County, New York",799,7,792
1500000US360610038005,360610038005,"Block Group 5, Census Tract 38, New York County, New York",1285,85,1200
1500000US360610038006,360610038006,"Block Group 6, Census Tract 38, New York County, New York",489,0,489
1500000US360610038007,360610038007,"Block Group 7, Census Tract 38, New York County, New York",1201,152,1049
1500000US360610039000,360610039000,"Block Group 0, Census Tract 39, New York County, New York",0,0,0
1500000US360610039001,360610039001,"Block Group 1, Census Tract 39, New York County, New York",1083,104,979
1500000US360610039002,360610039002,"Block Group 2, Census Tract 39, New York County, New York",664,21,643
1500000US360610039003,360610039003,"Block Group 3, Census Tract 39, New York County, New York",404,0,404
1500000US360610039004,360610039004,"Block Group 4, Census Tract 39, New York County, New York",700,8,692
1500000US360610040001,360610040001,"Block Group 1, Census Tract 40, New York County, New York",1476,215,1261
1500000US360610040002,360610040002,"Block Group 2, Census Tract 40, New York County, New York",463,138,325
1500000US360610040003,360610040003,"Block Group 3, Census Tract 40, New York County, New York",1022,80,942
1500000US360610040004,360610040004,"Block Group 4, Census Tract 40, New York County, New York",512,38,474
1500000US360610040005,360610040005,"Block Group 5, Census Tract 40, New York County, New York",1459,276,1183
1500000US360610040006,360610040006,"Block Group 6, Census Tract 40, New York County, New York",1364,125,1239
1500000US360610041001,360610041001,"Block Group 1, Census Tract 41, New York County, New York",709,53,656
1500000US360610041002,360610041002,"Block Group 2, Census Tract 41, New York County, New York",413,93,320
1500000US360610041003,360610041003,"Block Group 3, Census Tract 41, New York County, New York",737,70,667
1500000US360610041004,360610041004,"Block Group 4, Census Tract 41, New York County, New York",589,123,466
1500000US360610041005,360610041005,"Block Group 5, Census Tract 41, New York County, New York",488,32,456
1500000US360610041006,360610041006,"Block Group 6, Census Tract 41, New York County, New York",904,44,860
1500000US360610042001,360610042001,"Block Group 1, Census Tract 42, New York County, New York",1681,462,1219
1500000US360610042002,360610042002,"Block Group 2, Census Tract 42, New York County, New York",744,56,688
1500000US360610043001,360610043001,"Block Group 1, Census Tract 43, New York County, New York",1199,0,1199
1500000US360610043002,360610043002,"Block Group 2, Census Tract 43, New York County, New York",541,79,462
1500000US360610043003,360610043003,"Block Group 3, Census Tract 43, New York County, New York",1049,36,1013
1500000US360610044000,360610044000,"Block Group 0, Census Tract 44, New York County, New York",0,0,0
1500000US360610044001,360610044001,"Block Group 1, Census Tract 44, New York County, New York",2243,35,2208
1500000US360610044002,360610044002,"Block Group 2, Census Tract 44, New York County, New York",516,83,433
1500000US360610044003,360610044003,"Block Group 3, Census Tract 44, New York County, New York",1407,181,1226
1500000US360610044004,360610044004,"Block Group 4, Census Tract 44, New York County, New York",796,201,595
